date,name-dataset,image,Precision,Recall,mAP@50,mAP@50-95
04/08/2569,label-studio,645,0.762,0.783,0.822,0.532
10/08/2569,label-studio,6000,0.804,0.805,0.842,0.538
12/08/2569,ObjectDetectionBelt_quality,823,0.903,0.815,0.883,0.645
12/08/2569,yolo11s_1280_ODBv3,2431,0.988,0.969,0.981,0.895
13/08/2569,yolo11s_1280_ODBv4-4,2469,0.950,0.959,0.981,0.812
13/08/2569,yolo11m_1280_ODBv8,1647,0.822,0.795,0.873,0.640
14/08/2569,yolo11m_1280_ODBv8-3,1647,0.950,0.959,0.981,0.812
17-08-2569,yolo11m_1280_ODBv11,1531,0.822,0.826,0.842,0.609
17-08-2569,yolo11s_960_new-ODBv14,1541,0.783,0.815,0.839,0.614
17-08-2569,yolo11s_960_new-ODBv15,1547,0.838,0.778,0.822,0.612
17-08-2569,yolo11s_960_new-ODBv1ุุ6,1547,0.815,0.845,0.854,0.614
17-08-2569,yolo11s_960_new-ODBv17,1546,0.840,0.805,0.820,0.562
17-08-2569,yolo11s_960_new-ODBv19,1547,0.806,0.783,0.823,0.588
17-08-2569,yolo11s_960_new-ODBv20,1975,0.875,0.809,0.878,0.642
20-08-2569,yolo11s_960_new-ODBv22,1955,0.870,0.782,0.874,0.652
20-08-2569,yolo11s_960_new-ODBv21,1975,0.766,0.837,0.831,0.596
22-08-2569,yolo11s_960_new-ODBv26,2087,0.769,0.812,0.856,0.629
22-08-2569,yolo11s_960_new-ODBv27,2081,0.786,0.831,0.877,0.645
22-08-2569,yolo11s_960_new-ODBv28,1832,0.812,0.861,0.873,0.613
22-08-2569,yolo11s_960_new-ODBv29,2006,0.556,0.935,0.857,0.573
22-08-2569,yolo11s_960_new-ODBv30,2002,0.767,0.949,0.888,0.660
22-08-2569,yolo11s_960_new-ODBv31,1831,0.792,0.859,0.859,0.583
22-08-2569,yolo11s_960_new-ODBv33,2001,0.919,0.893,0.966,0.687
24-08-2569,yolo11s_960_new-ODBv34,1437,0.796,0.827,0.848,0.574
24-08-2569,yolo11s_960_new-ODBv35,1245,0.741,0.798,0.799,0.547
24-08-2569,yolo11s_960_new-ODBv36,1245,0.798,0.778,0.776,0.580
24-08-2569,yolo11s_960_new-ODBv37,1247,0.704,0.754,0.773,0.537
24-08-2569,yolo11s_960_new-ODBv38,1248,0.779,0.808,0.833,0.569
24-08-2569,yolo11s_960_new-ODBv39,1423,0.821,0.767,0.838,0.504
24-08-2569,yolo11s_960_new-ODBv40,1611,0.801,0.857,0.884,0.523
24-08-2569,yolo11s_960_new-ODBv41,1302,0.834,0.848,0.875,0.558
